over,short_text,long_text
18.3,"Brathwaite to Rayudu, FOUR runs",And Chennai Super Kings' highest run-scorer hits the winning runs! CSK are IPL 2018 champions. Driven through the covers
18.2,"Brathwaite to Rayudu, no run","full just outside off, and Rayudu suffles across to the off side before driving it to mid off"
18.1,"Brathwaite to Rayudu, no run","yorker on off, and dug away to the square-leg fielder"
17.6,"Kaul to Watson, no run","full just outside off, and defended towards cover point. We'll have to wait."
17.5,"Kaul to Watson, FOUR runs","full just outside off, and this time it's been caressed! The last one was brute force but this was pure timing. Proper front-foot straight drive past the bowler"
17.4,"Kaul to Watson, FOUR runs","full on middle, but Watson makes some extra room and then drills it past the bowler. Kaul's lucky that he got out of the delivery's way. Smokes this to the long-off boundary"
17.3,"Kaul to Rayudu, 1 run","length ball outside off, and Rayudu punches it off the back foot to sweeper cover. Ten needed now"
17.2,"Kaul to Watson, 1 run","low full toss on middle, and Watson mistimes a bunt to long off"
17.1,"Kaul to Rayudu, 1 run","back of a length on off, and that's been comfortably pulled to the fielder at deep backward square"
16.6,"Rashid Khan to Watson, FOUR runs",dropped just in front of Hooda at deep backward square! And then it bounces away to the boundary. A horror evening for Hooda. It was a full ball on middle that Watson had slog swept to the leg side
16.5,"Rashid Khan to Watson, FOUR runs","full on off, but Watson's picked the wrong'un. Goes down on one knee, and then ramps it past the keeper's left. He's doing this in style!"
16.4,"Rashid Khan to Rayudu, 1 run","full on leg stump, and worked off the front foot to the leg side. Calls early for the single"
16.3,"Rashid Khan to Watson, 1 run","full outside off, and defended with soft hands to cover. They take the single and that's an IPL hundred for Watson The first IPL finals hundred while chasing, the second in all IPL finals. Take a bow, legend. Also his second of the season"
16.2,"Rashid Khan to Rayudu, 1 run","full just outside off, and driven with the turn to long off. Gets Watson back on strike and the crowd's gone ballistic"
16.1,"Rashid Khan to Watson, 1 run","full on off, but it's not spinning. Watson drives it past the non-striker to long on. Moves to 99"
15.6,"Bhuvneshwar to Watson, 1 run","back of a length on off, and Watson fends it off the back foot. Comes off the bat's outside edge and runs down to third man"
15.5,"Bhuvneshwar to Rayudu, 1 run","back of a length outside off, and slapped to deep point. Well stopped by the man in the deep"
15.4,"Bhuvneshwar to Rayudu, no run","slower ball again. Fuller outside off, and driven away from his body to KW at cover"
15.3,"Bhuvneshwar to Rayudu, SIX runs","short ball, and it's the offcutter too, but Rayudu picks the length early. Comes dancing down the wicket and then slaps it inside out over long off. Ambati's done waiting"
15.2,"Bhuvneshwar to Rayudu, no run","back of a length outside off, and punched off the back foot to cover. Starts the over with two dot balls"
15.1,"Bhuvneshwar to Rayudu, no run","length ball on middle, and angling into his body. Cramped for space, so fended towards the leg side"
14.6,"Rashid Khan to Rayudu, 1 leg bye","length ball on middle, and he glances it fine down the leg side. Work for the man at short fine leg. Final time out of the season"
14.5,"Rashid Khan to Rayudu, no run","ripper! Full outisde off and it's the wrong'un once again. Hits his front pad, but looks like impact is outside off. The appeal for lbw is turned down as well but Rashid has convinced his captain to review. Missing everything"
14.4,"Rashid Khan to Rayudu, no run",full on off and zipping straight through. Fended off the back foot on this occasion
14.3,"Rashid Khan to Rayudu, no run","extra bounce! Short on off, and turning into the batsman again. Whipped off his hips to short fine leg"
14.2,"Rashid Khan to Rayudu, no run","edged to first slip! But goes to the fielder on the bounce. Pitches outside off, and spins into Rayudu"
14.1,"Rashid Khan to Rayudu, no run","full on off, and defended towards the leg side. Goswami scampers across to stop the single"
13.6,"Brathwaite to Watson, SIX runs","slower ball outside off, and that's in Watto's arc. Stands tall and pulls this over deep midwicket. What a show from Watto. Ninety-seven runs"
13.6,"Brathwaite to Watson, 1 wide","yorker on leg stump, and going down the leg side. Watson does well to skip away from the ball's line"
13.5,"Brathwaite to Watson, FOUR runs","chops it past short third man for another boundary! Moves on to the nineties It was angling into the batsman, but he did really well to open his bat's face"
13.4,"Brathwaite to Rayudu, 1 run","good length outside off, and Rayudu opens his bat's face to run this down to Bhuvi at third man"
13.3,"Brathwaite to Raina, OUT","goes short! Brathwaite's appealing for the caught behind, and Williamson reviews. It was a quick delivery that rose onto Raina. Raina misses the pull, and the ball brushes his top glove. Raina's walking even before the third umpire gives his decision. Rayudu's already made his way out"
13.2,"Brathwaite to Watson, 1 run","length ball on middle, but Watson mistimes his pull. Played along the ground to sweeper on the leg side"
13.1,"Brathwaite to Raina, 1 run","back of a length on middle, and cramps Raina for space. But still he manages to clip it off his hips to deep backward square"
12.6,"Sandeep to Watson, FOUR runs","overpitched just outside off, but luck's going Watto's way! Steers it between gully and point, and the over ends with a boundary. Twenty-seven runs off the over!"
12.6,"Sandeep to Watson, 1 wide","wide outside off, but he's got to bowl this again. Over the tramlines "
12.5,"Sandeep to Watson, SIX runs","hat-trick of sixes! Length ball outside off, and Watson opens his stance to go towards the leg side. Drags this from outside off and slaps it over long on once again"
12.4,"Sandeep to Watson, SIX runs","misses the yorker again, and Watson sends this over cow corner! Low full toss on middle, but Watson gets his front leg out of the way and deposits this into the stands. Delightful hitting"
12.3,"Sandeep to Watson, SIX runs","goes short outside off, and Watson simply checks his pull shot. Doesn't matter. It comes off the bat's bottom half, but the shot soars over long on! How powerful is this man. Replays show that the knuckle ball just didn't come off"
12.2,"Sandeep to Watson, FOUR runs","low full toss outside off, and this time Watson drives it over extra cover. Off the bat's toe end, but still finds the gap past wide long off. Sharma misses the yorker-length, and is punished by Watto on this occasion"
12.1,"Sandeep to Watson, no run","wide yorker outside off. Watson tries to steer it square, but can't get bat to ball. An excellent start for the bowling side"
11.6,"Brathwaite to Watson, 1 run","slower ball to end the over. It's wide outside off, so Watson is forced to reach at it. Flat-bats it past the bowler's left, and takes a single to keep the strike"
11.5,"Brathwaite to Watson, FOUR runs","slower ball on off, but it's always angling into Watson. He attempts to pull, and despite it not coming off the bat's middle, the shot has enough behind it for the ball to race away to the square-leg boundary"
11.4,"Brathwaite to Raina, 1 run","back of a length on middle, but angling into Raina. He backs away to make some room, but can only chop it down to short third man"
11.3,"Brathwaite to Watson, 1 run","attempts to cut it late, but he can only steer it to short third man. Watson's halfway down the wicket, so the fielder has a shy at the stumps. He misses, and now that allows CSK to take the run after all. Bhuvi the guilty man, and Brathwaite's not pleased one bit"
11.2,"Brathwaite to Raina, 1 run","back of a length on off stump, but he's taken the pace off the ball. Raina walks inside the line of the ball, and nudges it to the vacant area on the leg side"
11.1,"Brathwaite to Watson, 1 run","angling into his pads, and clipped away to deep midwicket. Gets Raina back on strike"
10.6,"Shakib to Raina, SIX runs","full on middle, and that's been lifted over long on! Leans into this, and times it beautifully over the fielder on the boundary"
10.5,"Shakib to Watson, 1 run","wide outside off, and allows Watson to free his arms. Slaps a cut to Rashid Khan at sweeper cover"
10.4,"Shakib to Raina, 1 run",muscles this pull down the ground. Was a length ball outside off. Long on cleans up
10.3,"Shakib to Raina, no run","length ball on off, and Raina has the luxury to go onto the back foot. Punched to mid on"
10.2,"Shakib to Watson, 1 run","wide outside off, and that's been cut off the back foot. Goes to the sweeper at deep point"
10.1,"Shakib to Watson, SIX runs","flat outside leg stump, and Watson goes down on one knee and thumps it over deep backward square leg! What a classy way to get to your fifty. A freebie to start his spell"
9.6,"Rashid Khan to Raina, FOUR runs","flat down leg, errant line. Just a bit of bat on Raina's sweep and the ball races away to the fine leg boundary."
9.5,"Rashid Khan to Watson, 1 run","picks the googly, maybe on line. Short and wide, he goes back and pulls to deep midwicket"
9.4,"Rashid Khan to Raina, 1 run","another googly, punched to deep midwicket. CSK very happy with this."
9.3,"Rashid Khan to Raina, no run","the googly around off, pushed to Rashid's left. He gets across acrobatically and throws back to the keeper too."
9.2,"Rashid Khan to Watson, 1 run","a googly outside off, driven to long-off"
9.1,"Rashid Khan to Raina, 1 run","flat and straight, worked to deep midwicket for a run"
8.6,"Kaul to Watson, 2 runs","just over cover! Wanted to always go over but didn't quite time that. A slower ball outside off, chipped over the fielder"
8.5,"Kaul to Watson, FOUR runs","knew that was his area. 115 kph, a knuckle ball outside off. Watson knows the fielder is up so just slaps the ball over the fielder. Lands just inside."
8.4,"Kaul to Watson, 2 runs","he goes for the catch! Good effort. A low full toss is hit away to the sweeper cover. Rashid runs in, decides to go for the catch and nearly gets there. He gets body behind ball, as my cricket coach used to say, and stops it from going past."
8.3,"Kaul to Watson, SIX runs","clears long-on. Another knuckle ball outside off, Watson looks to muscle that over midwicket but he can only splice it. Such is the power of Watson that it clears the fielder easily."
8.2,"Kaul to Raina, 1 run","good length on middle and leg, a wristy flick to deep square leg, on the bounce."
8.1,"Kaul to Watson, 1 run","a nice slower ball on middle, a knuckle ball. Chipped to long-on for a run. Should have been two there."
7.6,"Rashid Khan to Watson, 1 run","a wide googly outside off, turning in. Pushed to cover."
7.5,"Rashid Khan to Raina, 1 run","the flat legbreak, worked to midwicket"
7.4,"Rashid Khan to Watson, 1 leg bye","92 kph, the googly on middle and leg. Watson misses a flick, going down? A muted appeal is rejected."
7.3,"Rashid Khan to Raina, 1 run","a googly down leg, worked down to short fine leg for a quick single"
7.2,"Rashid Khan to Watson, 1 run","the wide legbreak outside off, drilled down to long-off for one"
7.1,"Rashid Khan to Watson, no run","the legbreak to start outside off, punched back to the bowler"
6.6,"Kaul to Raina, FOUR runs","that's rubbish. Short and waaay down leg, flicked away down to the fine leg boundary again. Almost went for six. His lines were awful. 16 off that."
6.5,"Kaul to Raina, no run","good length on middle and leg, worked to midwicket"
6.4,"Kaul to Raina, FOUR runs","poor bowling. Drops short down leg, pulled down to the fine leg boundary. The fielder is far too square, which means that's a terrible delivery."
6.3,"Kaul to Watson, 1 run","lands safe! Full outside off, Watson wants to hit straight, his preferred hitting range against seam. But the ball skews over point. Rashid runs in from sweeper cover and can only collect on the bounce"
6.2,"Kaul to Watson, SIX runs","it's Watson's bread and butter. On the pads and Kaul just nonchalantly flicks that over square leg. That's just a flick, people. Wow."
6.1,"Kaul to Raina, 1 run","full outside off, driven to long-on with a wristy whip. Some pressure on CSK."
5.6,"Sandeep to Raina, 1 run","back of a length outside off, pushed to Hooda at point."
5.5,"Sandeep to Watson, 1 run","a slower ball down leg, Watson misses a slog. Raina steals a leg bye, but Sandeep kicks the ball onto the stumps. Raina's full-length dive saves him. That's the commitment you want to see in an IPL final"
5.4,"Sandeep to Watson, FOUR runs","130 kph, too straight and Watson smashes it right back. Full and in the arc. Watson can't quite get underneath it but can get enough power. Thwack past mid-off"
5.3,"Sandeep to Watson, SIX runs","catch that Rashid, says Watson. Full and straight, it's like Watson was waiting for that. Not even that short but he heaves it away, T20 style over midwicket. Way into the stands."
5.2,"Sandeep to Raina, 1 run","a slower ball outside off, 113 kph, sliced to point. A diving save again"
5.1,"Sandeep to Watson, 1 run","picks that length, rocks back and pulls on the bounce to deep midwicket. Rashid ""can do anything"" Khan just plucks the ball with one hand. And says so what? Watson lets out an expletive. Can't quite say what was here."
5.1,"Sandeep to Watson, 1 wide",the knuckle ball goes wrong. Full and waaaay down leg
4.6,"Bhuvneshwar to Watson, 1 run","full on off and middle, worked to deep midwicket. 3-1-9-0 for Bhuvi. He'll be back later."
4.5,"Bhuvneshwar to Raina, 1 run",flicked away uppishly to deep square leg for a run.
4.4,"Bhuvneshwar to Raina, no run","131 kph, good length on off, blocked back. This has been special from  Bhuvneshwar. Interesting move from KW to keep him going too."
4.3,"Bhuvneshwar to Raina, no run","on a length outside off, 139 kph, inside-edged into the pad. Raina wants one. Watson says he can't make it."
4.2,"Bhuvneshwar to Watson, 1 run","drifts down leg, worked to square leg for a run. Now 6 off 14"
4.1,"Bhuvneshwar to Raina, 1 run","full and straight, worked down to backward square leg"
3.6,"Sandeep to du Plessis, OUT","beautiful bowling. Watson's pressure results in the wicket of du Plessis. He charges down, but it's the slower knuckle ball. Faf does not pick that. As a result, he goes through with the lofted drive and the ball goes straight up instead of far back. Sandeep says I got this to his team-mates. He's got it."
3.5,"Sandeep to Watson, 1 run","slogged away with bad timing to deep midwicket. Full and straight, heaved away"
3.4,"Sandeep to Watson, no run","back to normalcy. Back of a length outside off, guided to backward point. Hooda doesn't throw this time."
3.3,"Sandeep to Watson, FOUR runs","131 kph, smashed for four. Overpitched around off, and drilled past the bowler. Can't bowl that length"
3.2,"Sandeep to Watson, no run","that's closer! But still sliding. A knuckle ball down leg, Watson looks to slog sweep but misses. Struck on the pad, but going down. 0 off 10"
3.1,"Sandeep to du Plessis, 1 leg bye","a slower ball down leg, off the pad towards backward point. A big appeal as the ball misses bat and strikes pad, but not out."
2.6,"Bhuvneshwar to Watson, no run","good length outside off, 140 kph. Another slapped punch to point. Watson is 0 off 9"
2.5,"Bhuvneshwar to du Plessis, 5 runs","breaks that streak! And it's five. Bhuvneshwar has the right to be seething. Good length outside off, dabbed to backward point for a run. Hooda runs in and throws unnecessarily at the batsman's end. No back-up. FIVE."
2.4,"Bhuvneshwar to du Plessis, no run","make that 10! Back of a length outside off, 119 kph, pushed to cover"
2.3,"Bhuvneshwar to du Plessis, no run","awesome bowling. Some nervous cheers from the crowd. Good length and straight, defended back. NINE DOTS."
2.2,"Bhuvneshwar to du Plessis, no run","back of a length on middle and leg, 129 kph, pushed back to the bowler. SOOO many dots to begin."
2.1,"Bhuvneshwar to du Plessis, no run","good length outside off, away movement. Guided to point"
1.6,"Sandeep to Watson, no run","full and straight, 126 kph. Another push to mid-on. Watson is now 0 off 8"
1.5,"Sandeep to Watson, no run","full and straight, 129 kph. Excellent delivery because it keeps the pressure on Watson. Defended"
1.4,"Sandeep to du Plessis, 1 run","full and straight, wobbly through the air, pushed to mid-off for a single."
1.3,"Sandeep to du Plessis, no run","full outside off, 129 kph, a leaden-footed drive to cover"
1.2,"Sandeep to du Plessis, FOUR runs","that's width and CSK's first runs of the chase. Back of a length and a tad wide, carved away through cover. A slapped carve"
1.1,"Sandeep to du Plessis, no run","a gentle loosener to stand. Full and swinging back in, defended by Faf"
0.6,"Bhuvneshwar to Watson, no run","maiden to start! Second of the match! Another beauty, back of a length, pitches and deviates away to leave Watson hanging."
0.5,"Bhuvneshwar to Watson, no run","short and wide outside off, slashed away to backward point. Five dots. Pressure on Watson."
0.4,"Bhuvneshwar to Watson, no run","good stop. 133 kph, full and wide outside off. Dabbed towards backward point. Hooda runs to his left and stops a run with a dive."
0.3,"Bhuvneshwar to Watson, no run","well bowled. Back of a length outside off, the ball comes back in this time. That's Bhuvi's strength. Defended awkwardly."
0.2,"Bhuvneshwar to Watson, no run","full and wide outside off, more away movement. Left alone"
0.1,"Bhuvneshwar to Watson, no run","beauty to start! Back of a length outside off, the ball pitches and moves away like a snake. Beats the bat."
19.6,"Thakur to Brathwaite, OUT","Holes out but Sunrisers finish on 178 for 6. Short outside off again, and he tries to pull it towards the leg side. off the bat's toe end, and caught easily by Rayudu. Who's got the momentum at the break?"
19.5,"Thakur to Brathwaite, SIX runs","flat-batted over long on! He's not even hit it well, but Brathwaite's so powerful that the ball soars over Rayudu. It was short, and Brathwaite clearly hadn't timed it well, but hey, welcome to T20 cricket"
19.4,"Thakur to Brathwaite, no run","slower ball on the fourth-stump line, and Brathwaite misses! Gold dust. Brathwaite swings blindly towards the leg side, but he's through with his shot way too early"
19.3,"Thakur to Pathan, 1 run","low full toss on off stump, and that's been mistimed to long off. Was in his arc, but just couldn't get his bat under the delivery"
19.2,"Thakur to Pathan, no run","back of a length outside off, and Yusuf tries to pull it square. It comes off the bat's toe end, so the delivery goes nowhere. Brathwaite, however, wants to steal a run, but Yusuf's not interested. Shardul chooses not to have an aim at the stumps"
19.2,"Thakur to Pathan, 1 wide","that's all over the place! Short on middle, and angling down the leg side. Signs of frustration on Dhoni's face"
19.1,"Thakur to Pathan, 2 runs","low full toss on leg stump, and that's been nudged to deep midwicket. Brathwaite pushes his partner to return for the second"
18.6,"Ngidi to Brathwaite, SIX runs","finally connects, and that's a biggie! Loopy delivery wide outside off, and Brathwaite waits for this delivery. Gets his front leg out of the way, and then smashes it over Rayudu at long on. A good way for SRH to end the over"
18.5,"Ngidi to Brathwaite, no run","swing and a miss! It's the slower ball, but he drops the length short. Brathwaite attempts a leg-side slog, but he's through his shot way too early"
18.4,"Ngidi to Brathwaite, no run","tries to be cheeky, but that doesn't come off! Length ball on off, and Brathwaite walks inside the delivery's line to paddle it over short fine leg. Can't connect at all though"
18.3,"Ngidi to Pathan, 1 run","back of a length on off, and Yusuf's cramped for space. All he can do is punch it towards short cover for a single"
18.2,"Ngidi to Brathwaite, 1 run","in the air for a long time once again, but lands safe! Full on middle stump, and Brathwaite's leg-side slog comes off the bat's toe end. It falls just in front of long on"
18.1,"Ngidi to Brathwaite, no run","first strike! Back of a length on middle, and angling into Ricky. He tries to drive it straight over Ngidi, but plays it down the wrong line. The ball goes over the top of leg stump and through to Dhoni"
17.6,"Bravo to Pathan, FOUR runs","ends his spell with the offcutter, but Yusuf flat-bats it over the umpire for four! Rayudu at long on tries his best to cut it off, but he's just a bit too slow. Dhoni's not pleased"
17.5,"Bravo to Brathwaite, 1 run","short on off, and Brathwaite mistimes his pull. It's in the air for ages, but the ball lands between deep midwicket and long on. Bravo's not happy. I think he had started celebrating as soon as the ball went in the air "
17.4,"Bravo to Pathan, 1 run","length ball outside off, and Yusuf slaps it to point. They need to hurry for the single, but the fielder chooses not to throw at the stumps"
17.3,"Bravo to Brathwaite, 1 run","deft, but well stopped by backward point. It was a yorker on off, and Brathwaite did well to steer it behind square. Good effort inside the circle"
17.2,"Bravo to Brathwaite, SIX runs","full outside off, and that's been walloped! In Brathwaite's arc, and he smashes it over Bravo's head"
17.2,"Bravo to Brathwaite, 1 wide","brilliant yorker on leg stump, but oh that's cruel! It goes down the leg side as Brathwaite skips his toes out of the way. Wide called by umpire Erasmus"
17.1,"Bravo to Pathan, 1 run","full on off, and that's been driven past the bowler's left. Man at long off though"
17.1,"Bravo to Pathan, 1 wide","slower ball, but going down the leg side. The batsman did move towards the off side, but Bravo was just a bit too wide"
16.6,"Ngidi to Hooda, OUT","full outside off, and he tries to slog it towards midwicket. He's through his shot too early and the shot's been dragged to deep square leg. Deceived completely by the (lack of) pace. Taken by Shorey"
16.5,"Ngidi to Pathan, 1 run","length ball on of, and angling into the batsman. Turned off his pads to square leg and gets Hooda back on strike"
16.4,"Ngidi to Pathan, SIX runs","muscled over long on! Sheer power. Back of a length outside off, and Yusuf simple pulls it over the non-striker's head. Stand-and-deliver stuff"
16.3,"Ngidi to Hooda, 1 run","short outside off, and he attempts to steer it fine. Plays it fine, but can't beat Bravo at third man"
16.2,"Ngidi to Pathan, 1 run","full outside off, and he tries to drive it over cover. Comes off the bat's outside edge, and flies down to third man"
16.1,"Ngidi to Hooda, 1 run","chipped over midwicket! Lands safe. It was a short-ish ball on off, and the batsman was rather surprised. Checks his leg-side clip, and eventually lifts it towards the leg side"
15.6,"Bravo to Hooda, 1 run","full on leg stump, and that's been whipped off his pads to deep backward square. Off the mark"
15.5,"Bravo to Shakib, OUT","full toss outside off, and that's been struck straight to Raina at cover! Bravo's going to feel very lucky. Shakib did hit it well, but Raina's a beast in the field. Time out as Hooda makes his way out"
15.4,"Bravo to Pathan, 1 run","offcutter outside off, and Yusuf punches it to the vacant short cover region. He calls nice and early for the single"
15.3,"Bravo to Shakib, 1 run","lands on middle, and Shakib wants to send this to deep midwicket. Slogs hard at it, but mistimes it to the sweeper on the leg side"
15.2,"Bravo to Pathan, 1 run","full on off, and angling into his pads. Yusuf loses his balance as he tries to clip it off his pads. Mistimed to square leg this time"
15.1,"Bravo to Pathan, FOUR runs","short and wide outside off, but Yusuf stands tall, rides the bounce, and then cuts it in front of cover! Slapped with disdain"
14.6,"Karn to Shakib, no run","sliding defense from Shakib! Full on off, and he came down the ground to drive at it. Checks his shot at the last moment, but his feet go sliding. Looked rather uncomfortable. Hope he hasn't overstretched his hamstring"
14.5,"Karn to Shakib, 2 runs","width offered outside off, and that's been comfortably cut to deep point. They jog back for the second run. Bad throw from the deep, so the batsmen contemplate taking a third, but eventually choose not to"
14.4,"Karn to Shakib, no run","big heave, but Shakib misses it completely! Flighted outside leg, and it's the topspinner this time"
14.3,"Karn to Pathan, 1 run","full on leg stump, and Yusuf whips it down the ground to wide long-on"
14.2,"Karn to Pathan, SIX runs","wide outside off again, but this time Yusuf's done waiting. Big stride forward, and then extends his arms to lift it over extra cover! Ridiculous"
14.1,"Karn to Pathan, no run","full outside off, and turning further away. Yusuf checks his shot thinking it'll be a wide, but the umpire says that's fine"
13.6,"Thakur to Pathan, 1 run","short, but Yusuf manages to pull this over midwicket. Comfortably played infact, and he'll keep the strike"
13.5,"Thakur to Shakib, 1 run","slashed away to third man this time. Length ball on middle, and Shakib attempted that cut once again. Came off the bat's thick edge"
13.4,"Thakur to Pathan, 1 run","slower ball, and pitching on middle. Tapped off the back foot past the non-striker to long on for a walking single"
13.3,"Thakur to Pathan, FOUR runs","wide outside off, and that's been slapped past point! Deep point huffs and puffs, but has no chance in cutting it off. Allows Yusuf to free his arms, and the big man doesn't disappoint"
13.2,"Thakur to Shakib, 1 run","back of a length on middle, and Shakib chops this cut to third man. It was too close to his body for that shot to be played perfectly"
13.1,"Thakur to Pathan, 1 run","full outside off, and he drives this straight over the umpire. Hit well, but too well. That means it's only a single as long on cuts it off"
12.6,"Karn to Pathan, 1 run","full on middle, and turning away from Yusuf. He taps it off the front foot towards short cover and calls for a quick single"
12.5,"Karn to Pathan, no run","tries the cut, but it's too full for it. Was wide outside off, but Yusuf can't connect"
12.4,"Karn to Pathan, 2 runs","short on middle, but spinning across Yusuf's body. He pulls it - along the ground - to the region near deep midwicket. Big strides allow him to come back for the second"
12.3,"Karn to Pathan, FOUR runs","steered past first slip! Nice effort by Ngidi in the deep, but he just failed to parry it back. It was a length ball outside off, and Yusuf used Karn's pace to place it well"
12.2,"Karn to Pathan, no run","length ball outside off, and zipping straight through. Pathan rocks back, and cuts this from very close to his body"
12.1,"Karn to Williamson, OUT","legspinner's dream ball! Sweeeet. Full, but wide outside off, and KW couldn't pick the line. He came shimmying down the wicket trying to play it big, but the ball drifts away from the batsman, lands near the tramlines, and then Dhoni does the rest. A rare pre-meditated shot attempted by Williamson"
11.6,"Bravo to Williamson, 1 run","good length on off, and KW taps it off the back foot. Plays it past Shakib's left to long on, and he calls early for the run"
11.5,"Bravo to Shakib, 1 run","slipped? Full toss on middle, but not of the pace that would worry the batsman. Nudged off his pads to the vacant midwicket region for a single"
11.4,"Bravo to Williamson, 1 run","full outside off, and Williamson connects with the drive once again. But Faf's on the 30-yard circle, prepared for that very shot"
11.3,"Bravo to Williamson, FOUR runs","slower ball outside off, but way too slow. KW goes deep into his crease, winds up big, and then smashes this pull through the midwicket region"
11.2,"Bravo to Williamson, FOUR runs","full on off, and that's been creamed! Gets his front leg out of the way, and drives it beautifully. Finds the gap between deep point and extra cover"
11.1,"Bravo to Williamson, no run","length ball on off, and angling into his body. Tucks it towards midwicket off the back foot"
10.6,"Jadeja to Shakib, FOUR runs","full outside off again, and Shakib goes for the leg-side slog once again. Not timed as well, but still has behind this shot to send it to the wide long-on boundary. Seventeen off the over"
10.5,"Jadeja to Shakib, SIX runs","massive! Is this Shakib's night? Tossed up outside off, and Shakib's quick to get down on one knee, and thumps it over cow corner. Uff"
10.4,"Jadeja to Williamson, 1 leg bye","quicker ball on leg stump and going down leg. KW tries to sweep, but changes his shot late. Hits his front leg, but impact outside leg"
10.3,"Jadeja to Williamson, FOUR runs","drops just short of gully! And the ball then goes through for a boundary. Heart-in-mouth stuff. Flights it just a bit extra this time, and KW tries to drive. Comes off the bat's outside half, and slices it to the off side"
10.2,"Jadeja to Shakib, 1 run","good length on off stump, and he smothers it with the turn. Played off his pads to square leg"
10.1,"Jadeja to Williamson, 1 run","full on leg stump, and defended towards cover point with the bat's open face"
9.6,"Chahar to Williamson, 1 run","full and straight, flicked away towards long-on. Jadeja prevents two. 4-0-25-0, very tidy."
9.5,"Chahar to Williamson, no run","a short and wide delivery outside off, Williamson misses an attempted upper cut."
9.4,"Chahar to Shakib, 1 run","good length on off, worked to square leg, 133 kph"
9.3,"Chahar to Shakib, no run","good length outside off, comes back in with that around-the-wicket angle. Chopped to Bravo at backward point."
9.2,"Chahar to Williamson, 1 run","a slower ball down leg, worked to deep midwicket, 109 kph"
9.1,"Chahar to Williamson, no run","short outside off, pulled to midwicket. Mostly toe-ended."
8.6,"Jadeja to Williamson, 1 run","flat and straight, worked to square leg for one"
8.5,"Jadeja to Shakib, 1 run","shortish and wide again, cut to the deep point fielder"
8.4,"Jadeja to Shakib, FOUR runs","excellently played. Short and wide, spinning in. Shakib cuts towards short third man. Watson labours down, in slow motion, to his left. Allows the ball to go through"
8.3,"Jadeja to S Dhawan, OUT","the wild slog and Jadeja strikes! Flat and straight, as anticipated, Dhawan looks to slog sweep that over midwicket but he doesn't make contact. The ball beats the slog, clips the thigh pad and then knocks into the stumps. That'll slow Sunrisers down. Again, the first over after a time-out."
8.2,"Jadeja to Williamson, 1 run","some flight on middle, Williamson makes room and chips the ball to long-off for one"
8.1,"Jadeja to S Dhawan, 1 run","slow outside off, pushed to long-on for one."
7.6,"Bravo to Williamson, SIX runs","that's filth from Bravo. A slower ball down leg, a full toss as well. Williamson just swivels on a sweep and clears short fine leg. The catch is taken, but by a ballboy outside the boundary."
7.5,"Bravo to Williamson, FOUR runs","picks the slower ball outside off, full and wide. Williamson gets underneath the length and lofts the ball cleanly over cover for four."
7.4,"Bravo to S Dhawan, 1 run","a very slow slower ball on off, pushed in front of point for one"
7.3,"Bravo to S Dhawan, no run","132 kph, another good delivery. Using the bouncer well this time, short and down leg. Dhawan looks to pull,  but misses. Bravo and Dhoni appeal, Bravo more vociferously. No glove."
7.2,"Bravo to S Dhawan, no run","excellent bowling. The wide yorker outside off, the ball creeps under Dhawan's shot."
7.1,"Bravo to S Dhawan, no run","a slower ball outside off, drilled to cover"
6.6,"Karn to S Dhawan, 1 run","looked for six, didn't get it. Some flight on middle and leg, swivel-heaved away to long-on"
6.5,"Karn to S Dhawan, FOUR runs","slog-swept into the gap at square leg. Some flight but the line isn't great. Heaved away to deep square leg, finds the gap"
6.4,"Karn to S Dhawan, no run","the googly, lots of flight on that. Driven back to the bowler"
6.4,"Karn to S Dhawan, 1 wide","strays down leg, wide."
6.3,"Karn to Williamson, 1 run","83 kph, misfield from Raina. Full outside off, KW comes down and pushes to Raina's left. He lets the ball through, slightly hurried by the pace of the ball"
6.2,"Karn to S Dhawan, 1 run","short and wide outside off, cut away to backward point for a run. A good start from Karn"
6.1,"Karn to Williamson, 1 run","flat and straight, worked away to wide long-on, but for one. Faf is too quick."
5.6,"Thakur to Williamson, 1 run","well played, well bowled. Short and wide, a dab to third man for a run"
5.5,"Thakur to S Dhawan, 1 run","much much better. Good length on off, but because he's got all those runs, this is a good result for Sunrisers. Tip and run to cover"
5.4,"Thakur to S Dhawan, 2 runs","too straight this time, down leg and flicked away nonchalantly through square leg for two. Good stop by Karn, running to his right from fine leg."
5.3,"Thakur to S Dhawan, SIX runs","in the slot and outta here! Full and straight, Dhawan sees that early and whacks the ball easily over long-on. That's not a bad line, but awful length with a batsman under pressure."
5.2,"Thakur to S Dhawan, no run","nicely driven but finds Jadeja at cover. Full and wide, driven elegantly"
5.1,"Thakur to Williamson, 1 run","another typical single from KW. 135 kph, full on off, tapped with soft hands into the off side. That's such an important T20 stroke, converts a good ball into a single."
5.1,"Thakur to Williamson, 1 wide",starts with a wide down leg.
4.6,"Chahar to Williamson, 1 run","charges down but gets a slower ball outside off, chopped to mid-off"
4.5,"Chahar to Williamson, no run","smashed on the midriff! Back of a length on middle and leg, Williamson misses a pull, and winces almost as the ball makes contact with his body"
4.5,"Chahar to Williamson, 1 wide","thinks of carving the ball over the keeper, but withdraws from the shot late and wisely. A bouncer is way over the head of Williamson."
