over,short_text,long_text
8.3,"Sodhi to Hales, 2 runs", just short of Archer at long on.  Mishit again as Hales looks to step out and hit against the turn over long on. Didn't get to the pitch but went through. Archer made the mistake of running around initially when he could've come in straightaway
8.2,"Sodhi to Williamson, 1 run",works this shortish delivery towards midwicket
8.1,"Sodhi to Hales, 1 run","outstanding effort by Stokes to run in from deep midwicket, but takes this on the half-volley. The crowd went up to applaud, but Stokes immediately said no. The ball bobbled out as soon as his elbows hit the ground. This was full and flat on middle, Hales at the risk of being lbw hit that flat and hard. Full marks for the effort"
7.6,"Stokes to Hales, 1 run","slower delivery down leg, eased to fine leg."
7.5,"Stokes to Williamson, 1 run",excellent wrist work to flick this from outside off but Tripathi throws himself to his right to effect a one-handed stop. Saved a couple of runs.
7.4,"Stokes to Williamson, no run","slower and fuller delivery that angles in from wide of the crease, defended towards midwicket"
7.3,"Stokes to Hales, 1 run",driven hard to sweeper cover
7.2,"Stokes to Hales, 2 runs","drilled back past the bowler, no chance for mid off. K Gowtham hared around the ropes from long on to put out a diving stop. Super stuff. Saved three runs. I just think both batsmen assumed that will be a boundary."
7.1,"Stokes to Williamson, 1 run","angles in a short ball, pulled down to fine leg"
6.6,"Sodhi to Williamson, 1 run","driven hard, a half-stop at cover keeps it down to a single."
6.5,"Sodhi to Williamson, FOUR runs","rocks back and pulls. This was begging to be hit and Williamson said 'no fret, mate. I'll put that where it should be put.' No one at deep midwicket to protect that"
6.4,"Sodhi to Hales, 1 run","spins away but keeps a touch low, punched down to long on."
6.3,"Sodhi to Williamson, 1 run","plenty of revs on this one, driven with the spin to deep cover as they jog the single"
6.2,"Sodhi to Hales, 1 run",eased with the spin to long off
6.1,"Sodhi to Williamson, 1 run","nice flight, lands this at length on off stump, eased wide of cover"
5.6,"Unadkat to Hales, 2 runs","pulled again, down towards Tripathi at deep midwicket"
5.5,"Unadkat to Hales, 2 runs","fetches this short of length ball from outside off, pulled into the gap at deep square leg."
5.4,"Unadkat to Williamson, 1 run","short of length on off stump, pulled to deep square leg."
5.3,"Unadkat to Williamson, no run","looks to get on top of the bounce and work to the leg side but this climbs on him, rolls off the top part to the bowler"
5.2,"Unadkat to Hales, 1 run","gives him the charge but the bowler alters his length nicely, bunted to mid off"
5.1,"Unadkat to Hales, no run",punches this length ball to cover
4.6,"Archer to Williamson, no run",gets a good stride forward and defends.
4.5,"Archer to Hales, 1 run",whips this length ball to deep square leg
4.4,"Archer to Williamson, 1 run",gets on top of the bounce and turns this square on the leg side
4.3,"Archer to Williamson, no run"," Tripathi drops a straightforward offering at slip!  He squared him up with a length ball that climbed on him, nipped away a touch to take the edge as well, Tripathi juggled on the second attempt and muffed it in the end. Oh, dear. How costly will that be? Archer is annoyed."
4.2,"Archer to Williamson, FOUR runs","lovely straight drive this. Not much of a flourish, all hands and the timing is delightful as he beats mid on."
4.1,"Archer to Hales, 1 run","hurries Hales for pace as he gets a thick inside edge on the drive to mid on, quick single scampered"
3.6,"Kulkarni to Williamson, no run","leans into the drive, eases this straight to extra cover"
3.5,"Kulkarni to Hales, 1 run","forces this length ball wide of mid off, good work by Unadkat"
3.4,"Kulkarni to Hales, no run","lands the offcutter at length on middle and off, punched to midwicket"
3.3,"Kulkarni to Williamson, 1 run","gets this to bounce from length on off stump, dabbed behind the stumps as they scamper through"
3.2,"Kulkarni to Williamson, no run","shapes away late. This is much fuller and starts off from middle, KW is squared up a touch as he defends."
3.1,"Kulkarni to Williamson, FOUR runs","too much width, Williamson stands still and slaps this through point when it finally arrives."
2.6,"Gowtham to Williamson, 1 run","slow turn back in from off stump, punched to long on."
2.5,"Gowtham to Williamson, no run","works this shortish delivery to square leg, cramped for room once again."
2.4,"Gowtham to Williamson, no run",works this gently with the spin to the leg side
2.3,"Gowtham to Hales, 1 run",eases this full delivery down to long on
2.2,"Gowtham to Williamson, 1 run",works this with the spin to deep midwicket
2.1,"Gowtham to S Dhawan, OUT","chopped on! Shortened his length, got this to drift in from around the stumps, Dhawan looks to steer this past slip after first looking to sweep, but didn't have the room and ends up hitting it onto his stumps off an inside edge. His third failure in a row now."
1.6,"Kulkarni to S Dhawan, 1 run","straying onto the pads, tucked away wide of short fine leg."
1.5,"Kulkarni to S Dhawan, FOUR runs","full on middle and leg, Dhawan is off balance as he squeezes the flick but somehow has managed to hit it well. Trickles into the short square leg boundary."
